,,,,Grand Total, $88.22 ,,,
Ref,Qnty,Value,Part Number,Footprint, Ea , Tot ,Notes,Warnings
"C1, C2, ",2,6.8pF,CL21C6R8CBANNNC,SMD 0805, $0.10 , $0.20 ,,
"C3, C32, ",2,10uF,293D106X0016A2TE3,SMD 1206, $0.31 , $0.62 ,,
"C4, C28, C29, ",3,1uF,CL21B105KBFNNNE,SMD 0805, $0.12 , $0.36 ,,
"C5, C13, ",2,1nF,CC0805KRX7R9BB102,SMD 0805, $0.10 , $0.20 ,,
"C6, C7, C9, C10, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C26, C33, ",17,0.1uF,C0805C104Z5VACTU,SMD 0805, $0.05 , $0.85 ,,
"C8, C27, ",2,22uF,TMCMA1C226MTRF,SMD 1206, $0.49 , $0.98 ,,
"C11, C12, C25, C30, C31, ",5,4.7uF,TAJA475K025RNJ,SMD 1206, $0.38 , $1.90 ,,
"D1, ",1,1N5711,1N5711W-7-F,SOD-123, $0.37 , $0.37 ,,
"D2, ",1,OVEN (Yellow),155124YS73200,SMD 1204 Right Angle, $0.19 , $0.19 ,,
"D3, ",1,TLOCK (Green),155124VS73200,SMD 1204 Right Angle, $0.19 , $0.19 ,,
"D4, ",1,POWER (Red),155124RS73200,SMD 1204 Right Angle, $0.19 , $0.19 ,,
"D5, ",1,GLOCK (Blue),155124BS73200,SMD 1204 Right Angle, $0.45 , $0.45 ,,
"F1, ",1,3A,C1F 3,SMD 1206, $0.24 , $0.24 ,,
"FB1, FB2, ",2,Ferrite,HI1206P121R-10,SMD 1206, $0.18 , $0.36 ,,
"J1, ",1,PPS,n/a,,, $-   ,,
"J2, ",1,PWR,PJ-102AH,PJ-102AH, $0.76 , $0.76 ,,
"J3, ",1,ISP,10129383-906001ALF,SMD 02x03, $0.19 , $0.19 ,,
"J4, ",1,GPS_NEO,U.FL-R-SMT-1(40),Hirose U.FL-R-SMT, $0.58 , $0.58 ,,
"J5, ",1,GPS_IN,RF2-49B-T-00-50-G-HDW,Amphenol 132203-12, $2.61 , $2.61 ,,
"J6, J8, ",2,10MHz_OUT,734152980,"Custom, Done", $6.18 , $12.36 ,,
"J7, ",1,NEO-6M,NPTC051KFXC-RC,SMD 01x05, $0.86 , $0.86 ,,
"J9, ",1,USB_C,KUSBX-SL-CS1N14-B,Custom, $3.05 , $3.05 ,,
"JP1, ",1,ISP_VCC,n/a,,, $-   ,,
"JP2, ",1,RST_BP,n/a,,, $-   ,,
"L1, ",1,3.3uH,LB3218T3R3M,SMD 1207, $0.16 , $0.16 ,,
"L2, L3, ",2,3.3uH,NRS5030T3R3MMGJ,Taiyo_Yuden_NR_50, $0.33 , $0.66 ,,
"Q1, ",1,DMP3099L,DMP3099L-13,SOT-23, $0.33 , $0.33 ,,
"R1, R2, ",2,22R,CRCW080522R1FKEA,SMD 0805, $0.10 , $0.20 ,,
"R3, R17, R18, R19, R20, R26, ",6,10k,CRCW080510K0FKEA,SMD 0805, $0.06 , $0.34 ,,
"R4, R6, ",2,39k,CRCW080539K0FKEA,SMD 0805, $0.10 , $0.20 ,,
"R5, R12, ",2,10M,CRCW080510M0FKEA,SMD 0805, $0.10 , $0.20 ,,
"R7, R10, R15, R16, R25, ",5,100,CRCW0805100RFKEA,SMD 0805, $0.10 , $0.50 ,,
"R8, R9, R13, R14, ",4,470,CRCW0805470RFKEA,SMD 0805, $0.10 , $0.40 ,,
"R11, ",1,3k9,CRCW08053K90FKEA,SMD 0805, $0.10 , $0.10 ,,
"R21, R22, R23, R24, ",4,50R,CRCW080551R0FKEA,SMD 0805, $0.10 , $0.40 ,,
"R27, ",1,64.9K,CRCW080564K9FKEA,SMD 0805, $0.10 , $0.10 ,,
R28,1,68R,CRCW080568R0FKEA,SMD 0806, $0.10 , $0.10 ,,
R29,1,2R,CRCW08052R00FKEA,SMD 0807, $0.10 , $0.10 ,,
"SW1, ",1,RST,PTS645SK50SMTR92 LFS,PTS645, $0.20 , $0.20 ,,
"TP1, ",1,PPS,n/a,,, $-   ,,
"TP2, ",1,ADC3,n/a,,, $-   ,,
"TP3, ",1,ADC1,n/a,,, $-   ,,
"U1, U5, ",2,BD50FC0FP-E2,BD50FC0FP-E2,TO-252-2, $0.90 , $1.80 ,,
"U2, ",1,ATmega32U4-AU,ATMEGA32U4-AUR,TQFP-44_10x10mm, $4.08 , $4.08 ,,
"U3, ",1,MC74HC390,MC74HC390ADR2G,16-SOIC, $0.55 , $0.55 ,,
"U4, ",1,CD74HC4046AM96,CD74HC4046AM96,16-SOIC, $0.58 , $0.58 ,,
"U6, U7, ",2,LM7171,LM7171BIMX/NOPB,8-SOIC, $2.81 , $5.62 ,,
"U8, ",1,LM35-D,LM35DMX/NOPB,SOIC-8_3.9x4.9mm, $1.99 , $1.99 ,,
"U9, ",1,AP62301WU-7,AP62301WU-7,TSOT26, $0.44 , $0.44 ,,
"Y1, ",1,16MHz,TSX-3225 16.0000MF09Z-AC0,4-SMD, $0.33 , $0.33 ,,
"Y2, ",1,NV47X,NV47M1008,CO-08, $10.00 , $10.00 ,,
Non-Board Components,,,,,,,,
n/a,1,U.FL Jumper,2015698-2,n/a, $1.33 , $1.33 ,For connecting GPS antenna to GPS module,
Enclosure,1,n/a,1455K1201,n/a, $18.00 , $18.00 ,,
GPS Module,1,GPS Recvr,NEO6MV2,01x05_2.54mm, $12.00 , $12.00 ,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
